userId,characterName,cardCode,cardEffort,recoveryDate
121671514410975232.00000,Father Spider Demon,hjls97,171,
,Mai Sakurajima,qgp2z7,171,
654112539688435712.00000,Mammon,qwlrmm,171,
,Goku,qm62c4,170,
172136729950683136.00000,Kaguya Shinomiya,vg6mb6,170,
130401447052443648.00000,Hestia,qrh9hq,169,
121671514410975232.00000,Gold Experience Requiem,qq30ns,169,
130401447052443648.00000,Lucina,qrdnnp,168,
130401447052443648.00000,Kaburamaru,q5h3bs,168,
121671514410975232.00000,Sebastian Michaelis,07b6mq,171,
,Sabito,q1gtjt,168,
468091758325006336.00000,Black Hanekawa,2r5qf,168,
192137381627822080.00000,Xiao,qjr3cz,168,
781493924422090752.00000,Zenitsu Agatsuma,v6d1tj,166,
191412938492477440.00000,Katsuki Bakugou,099z24,166,
191412938492477440.00000,Aqua,q4hhjn,165,
371042880078348160.00000,Kaori Miyazono,q276mm,165,
,Jin Mori,6kg8g,164,
130401447052443648.00000,Phinks,h3jm3j,164,
191412938492477440.00000,Kurumi Tokisaki,vxh9g2,163,
191412938492477440.00000,Chizuru Mizuhara,v5z2kw,163,
191412938492477440.00000,Klee,q17c3j,163,
121671514410975232.00000,Coconut,htghl3,163,
191412938492477440.00000,Izuku Midoriya,q07qzl,163,
,Levi,0lh86p,161,
130401447052443648.00000,Lucoa,vxpx2b,161,
371042880078348160.00000,Reiner Braun,q8r5t0,161,
,Violet Evergarden,q5fpj3,160,
121671514410975232.00000,Franken Stein,qqg39v,160,
468091758325006336.00000,Nino Nakano,qlk88m,160,
781493924422090752.00000,Chika Fujiwara,qvcjhg,160,
119155392776372224.00000,Fubuki,hkk1z4 ,160,
,Natsu Dragneel,qz65xm,160,
121671514410975232.00000,Legosi,h53tqf,160,
191412938492477440.00000,Chibi Chibi,h44bk6,159,
121671514410975232.00000,Usada Pekora,0bhjlb,159,
191412938492477440.00000,Paimon,qfpl0g,159,
,Umaru Doma,vmrd2x,159,
,Vegito,qqch7m,158,
130401447052443648.00000,Oozora Subaru,vtv1n0,158,
286239866449035264.00000,Tooru Oikawa,qt7msv,158,
121671514410975232.00000,Ren,qqpf9x,158,
,Kyoujurou Rengoku,q59vp9,158,
,Taiga Aisaka,qmtsqt,158,
130401447052443648.00000,Kotoko Utsugi,qcjddt,158,
191412938492477440.00000,Isuzu Sento,hw8xzw,158,
191412938492477440.00000,Meme,hkfnqw,156,
191412938492477440.00000,Kyoujurou Rengoku,q4x6xk,156,
191412938492477440.00000,Akame,qlm5xl,156,
452129115575943168.00000,Rei Ayanami,0kwws4,155,
146321803797725184.00000,Yotsuba Nakano,qnqvnm,155,
121671514410975232.00000,Inugami Korone,0z20lw,155,
321284717427294208.00000,Saitama,hms9pg,154,
146321803797725184.00000,Momonga,hzgsrq,154,
371042880078348160.00000,707,qz44hd,154,
130401447052443648.00000,Kurumi Tokisaki,qwwn0t,153,
191412938492477440.00000,Sailor Mars,qhwr1f,153,
204774279190020096.00000,Nana Ebina,q9g6z6,153,
191412938492477440.00000,Akeno Himejima,01w1kt,151,
191412938492477440.00000,Koutarou Bokuto,0d10fk,151,
781493924422090752.00000,Rudeus Greyrat,q8z2ht,151,
452129115575943168.00000,Caesar Zeppeli,vs134z,151,
192137381627822080.00000,Inori Yuzuriha,qnkc3l,151,
371042880078348160.00000,Chrollo Lucilfer,qz50g6,150,
,Osamu Dazai,zt5w3,150,
191412938492477440.00000,Sailor Neptune,qwmnn7,150,
130401447052443648.00000,Muhammad Avdol,q46k7q,150,
121671514410975232.00000,Tobio Kageyama,03dl6r,149,
121671514410975232.00000,Chrome,h1n1wv,149,
130401447052443648.00000,Natsu Dragneel,qd4v8t,149,
146321803797725184.00000,Chihiro Yoshioka,hzkm0v,149,
,Howl,qvnghg,149,
,Kazuma Satou,vhg7kt,149,
119155392776372224.00000,Tony Stark,hw73pt,148,
121671514410975232.00000,Haruka Konoe,hmws32,148,
130401447052443648.00000,Shinobu Handa,hmjhjd,148,
130401447052443648.00000,Shiro,0935sv,146,
121671514410975232.00000,Tooru Oikawa,05cz06,146,
191412938492477440.00000,Mitsuha Miyamizu,0bhstn,146,
,Umaru Doma,v3zpd6,146,
172136729950683136.00000,Mash Kyrielight,vdkgf7,145,
121671514410975232.00000,Nekomata Okayu,qg269d,145,
